name,description,price,warranty,specifications
Lithium Battery 18,High-performance lithium battery with long life.,16.6,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 19,Eco-friendly battery with stable output.,32.92,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 20,Reliable battery for industrial applications.,31.32,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 21,"Compact size, ideal for portable electronics.",30.52,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 22,Eco-friendly battery with stable output.,36.56,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 23,"Compact size, ideal for portable electronics.",48.1,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 24,Eco-friendly battery with stable output.,10.44,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 25,Reliable battery for industrial applications.,42.45,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 26,Reliable battery for industrial applications.,11.48,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 27,High-performance lithium battery with long life.,30.29,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 28,Rechargeable battery suitable for various devices.,14.8,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 29,Reliable battery for industrial applications.,27.97,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 30,Reliable battery for industrial applications.,25.02,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 31,Eco-friendly battery with stable output.,29.87,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 32,"Compact size, ideal for portable electronics.",17.28,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 33,Eco-friendly battery with stable output.,23.77,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 34,"Compact size, ideal for portable electronics.",45.69,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 35,"Compact size, ideal for portable electronics.",28.12,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 36,Rechargeable battery suitable for various devices.,35.47,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 37,Eco-friendly battery with stable output.,33.54,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 38,High-performance lithium battery with long life.,32.8,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 39,Reliable battery for industrial applications.,49.96,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 40,High-performance lithium battery with long life.,40.06,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 41,Reliable battery for industrial applications.,42.66,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 42,Rechargeable battery suitable for various devices.,42.95,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 43,High-performance lithium battery with long life.,10.89,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 44,Eco-friendly battery with stable output.,25.62,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 45,Eco-friendly battery with stable output.,21.83,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 46,"Compact size, ideal for portable electronics.",16.07,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 47,High-performance lithium battery with long life.,47.08,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 48,Rechargeable battery suitable for various devices.,12.17,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 49,Eco-friendly battery with stable output.,22.68,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 50,Eco-friendly battery with stable output.,16.03,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 51,"Compact size, ideal for portable electronics.",25.69,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 52,Reliable battery for industrial applications.,16.17,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 53,"Compact size, ideal for portable electronics.",39.98,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 54,Reliable battery for industrial applications.,18.71,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 55,"Compact size, ideal for portable electronics.",42.27,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 56,Rechargeable battery suitable for various devices.,13.85,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 57,"Compact size, ideal for portable electronics.",27.43,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 58,"Compact size, ideal for portable electronics.",48.9,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 59,Reliable battery for industrial applications.,20.78,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 60,Reliable battery for industrial applications.,45.87,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 61,Rechargeable battery suitable for various devices.,39.52,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 62,Eco-friendly battery with stable output.,17.68,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 63,Eco-friendly battery with stable output.,43.14,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 64,Reliable battery for industrial applications.,34.83,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 65,Eco-friendly battery with stable output.,41.3,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 66,Eco-friendly battery with stable output.,29.48,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 67,Rechargeable battery suitable for various devices.,24.57,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 68,"Compact size, ideal for portable electronics.",41.97,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 69,Rechargeable battery suitable for various devices.,12.41,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 70,High-performance lithium battery with long life.,11.42,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 71,Eco-friendly battery with stable output.,15.23,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 72,Reliable battery for industrial applications.,41.17,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 73,Eco-friendly battery with stable output.,36.18,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 74,"Compact size, ideal for portable electronics.",26.25,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 75,Rechargeable battery suitable for various devices.,18.09,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 76,Reliable battery for industrial applications.,47.22,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 77,Eco-friendly battery with stable output.,33.71,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 78,Rechargeable battery suitable for various devices.,14.82,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 79,"Compact size, ideal for portable electronics.",49.71,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 80,Reliable battery for industrial applications.,24.84,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 81,Reliable battery for industrial applications.,14.93,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 82,Reliable battery for industrial applications.,27.62,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 83,"Compact size, ideal for portable electronics.",44.56,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 84,Reliable battery for industrial applications.,41.47,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 85,Reliable battery for industrial applications.,23.46,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 86,High-performance lithium battery with long life.,35.24,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 87,"Compact size, ideal for portable electronics.",14.57,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 88,Rechargeable battery suitable for various devices.,40.63,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 89,"Compact size, ideal for portable electronics.",16.98,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 90,Eco-friendly battery with stable output.,29.0,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 91,Rechargeable battery suitable for various devices.,22.15,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 92,Rechargeable battery suitable for various devices.,20.56,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 93,High-performance lithium battery with long life.,38.98,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 94,Reliable battery for industrial applications.,48.67,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 95,Reliable battery for industrial applications.,13.94,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 96,Reliable battery for industrial applications.,43.71,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 97,Reliable battery for industrial applications.,18.98,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 98,Rechargeable battery suitable for various devices.,37.79,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 99,Reliable battery for industrial applications.,33.86,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 100,Rechargeable battery suitable for various devices.,42.03,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 101,"Compact size, ideal for portable electronics.",23.16,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 102,Reliable battery for industrial applications.,33.48,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 103,Rechargeable battery suitable for various devices.,48.23,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 104,Eco-friendly battery with stable output.,44.94,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 105,Eco-friendly battery with stable output.,18.74,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 106,Reliable battery for industrial applications.,11.96,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 107,Rechargeable battery suitable for various devices.,32.93,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 108,High-performance lithium battery with long life.,39.36,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 109,Eco-friendly battery with stable output.,28.64,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 110,Eco-friendly battery with stable output.,30.53,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 111,Eco-friendly battery with stable output.,25.03,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 112,Reliable battery for industrial applications.,21.46,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 113,"Compact size, ideal for portable electronics.",39.82,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 114,High-performance lithium battery with long life.,31.98,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 115,"Compact size, ideal for portable electronics.",39.15,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 116,Eco-friendly battery with stable output.,32.06,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 117,Rechargeable battery suitable for various devices.,49.25,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 118,High-performance lithium battery with long life.,19.2,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 119,High-performance lithium battery with long life.,38.6,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 120,High-performance lithium battery with long life.,45.91,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 121,"Compact size, ideal for portable electronics.",15.91,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 122,"Compact size, ideal for portable electronics.",49.36,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 123,Eco-friendly battery with stable output.,22.41,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 124,High-performance lithium battery with long life.,21.17,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 125,"Compact size, ideal for portable electronics.",41.24,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 126,Rechargeable battery suitable for various devices.,43.09,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 127,Reliable battery for industrial applications.,41.64,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 128,"Compact size, ideal for portable electronics.",39.1,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 129,Rechargeable battery suitable for various devices.,32.65,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 130,Eco-friendly battery with stable output.,45.19,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 131,Reliable battery for industrial applications.,16.6,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 132,High-performance lithium battery with long life.,31.06,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 133,"Compact size, ideal for portable electronics.",49.21,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 134,"Compact size, ideal for portable electronics.",14.57,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 135,Eco-friendly battery with stable output.,47.07,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 136,Reliable battery for industrial applications.,47.13,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 137,Rechargeable battery suitable for various devices.,43.36,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 138,Eco-friendly battery with stable output.,18.07,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 139,High-performance lithium battery with long life.,38.52,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 140,Rechargeable battery suitable for various devices.,26.51,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 141,"Compact size, ideal for portable electronics.",26.82,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 142,Eco-friendly battery with stable output.,14.51,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 143,Rechargeable battery suitable for various devices.,37.96,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 144,Rechargeable battery suitable for various devices.,40.82,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 145,"Compact size, ideal for portable electronics.",23.37,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 146,High-performance lithium battery with long life.,27.14,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 147,Eco-friendly battery with stable output.,30.04,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 148,"Compact size, ideal for portable electronics.",35.27,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 149,Reliable battery for industrial applications.,30.24,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 150,High-performance lithium battery with long life.,37.01,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 151,Eco-friendly battery with stable output.,20.03,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 152,"Compact size, ideal for portable electronics.",31.96,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 153,Eco-friendly battery with stable output.,44.9,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 154,High-performance lithium battery with long life.,45.79,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 155,Reliable battery for industrial applications.,17.85,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 156,High-performance lithium battery with long life.,43.51,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 157,Rechargeable battery suitable for various devices.,20.52,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 158,Eco-friendly battery with stable output.,41.92,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 159,High-performance lithium battery with long life.,17.47,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 160,Rechargeable battery suitable for various devices.,18.51,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 161,Eco-friendly battery with stable output.,43.83,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 162,"Compact size, ideal for portable electronics.",10.19,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 163,"Compact size, ideal for portable electronics.",45.09,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 164,Rechargeable battery suitable for various devices.,29.18,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 165,Reliable battery for industrial applications.,34.07,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 166,Eco-friendly battery with stable output.,40.46,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 167,Rechargeable battery suitable for various devices.,31.97,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 168,Eco-friendly battery with stable output.,41.4,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 169,Rechargeable battery suitable for various devices.,31.15,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 170,"Compact size, ideal for portable electronics.",47.7,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 171,High-performance lithium battery with long life.,17.12,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 172,High-performance lithium battery with long life.,20.67,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 173,Reliable battery for industrial applications.,14.58,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 174,Eco-friendly battery with stable output.,43.86,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 175,Eco-friendly battery with stable output.,11.75,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 176,High-performance lithium battery with long life.,33.13,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 177,"Compact size, ideal for portable electronics.",31.66,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 178,High-performance lithium battery with long life.,36.67,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 179,Reliable battery for industrial applications.,12.92,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 180,"Compact size, ideal for portable electronics.",32.54,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 181,High-performance lithium battery with long life.,25.19,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 182,Eco-friendly battery with stable output.,33.23,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 183,Reliable battery for industrial applications.,19.18,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 184,High-performance lithium battery with long life.,45.04,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 185,Rechargeable battery suitable for various devices.,22.56,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 186,"Compact size, ideal for portable electronics.",30.58,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 187,High-performance lithium battery with long life.,18.35,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 188,Eco-friendly battery with stable output.,32.64,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 189,Rechargeable battery suitable for various devices.,29.52,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 190,"Compact size, ideal for portable electronics.",21.87,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 191,Reliable battery for industrial applications.,19.2,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 192,Eco-friendly battery with stable output.,32.93,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 193,"Compact size, ideal for portable electronics.",19.54,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 194,Eco-friendly battery with stable output.,26.01,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 195,"Compact size, ideal for portable electronics.",28.3,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 196,Rechargeable battery suitable for various devices.,34.38,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 197,Reliable battery for industrial applications.,29.03,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 198,Rechargeable battery suitable for various devices.,39.33,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 199,Eco-friendly battery with stable output.,28.7,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 200,Eco-friendly battery with stable output.,40.01,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 201,Reliable battery for industrial applications.,35.27,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 202,Eco-friendly battery with stable output.,12.19,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 203,Reliable battery for industrial applications.,11.93,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 204,Eco-friendly battery with stable output.,48.65,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 205,Rechargeable battery suitable for various devices.,36.33,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 206,Reliable battery for industrial applications.,27.68,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 207,Reliable battery for industrial applications.,31.54,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 208,Rechargeable battery suitable for various devices.,48.92,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 209,Reliable battery for industrial applications.,36.01,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 210,Reliable battery for industrial applications.,11.4,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
